raceId,driverId,lap,position,time,milliseconds,seconds,log_seconds,reciprocal_seconds
92,13,38,13,1:33.486,93486,93.486,4.537811692463273,0.010696788823995036
1069,20,37,9,1:42.504,102504,102.504,4.629901822207275,0.009755716850074142
185,48,35,19,1:25.443,85443,85.443,4.447849486955011,0.011703708905352106
110,22,20,5,2:02.977,122977,122.977,4.811997346017339,0.008131601844247298
931,832,40,14,1:20.426,80426,80.426,4.387337506992458,0.012433790067888494
347,5,8,15,1:23.240,83240,83.24,4.421728001525434,0.01201345506967804
33,8,30,3,1:20.060,80060,80.06,4.382776353564427,0.012490632025980514
1065,844,5,5,1:26.473,86473,86.473,4.459832226484077,0.011564303308547177
88,32,12,7,1:34.942,94942,94.942,4.553266178837669,0.01053274630827242
136,31,51,10,1:18.163,78163,78.163,4.35879638980243,0.012793777106815245
941,833,35,15,1:46.722,106722,106.722,4.670227322621395,0.009370139240269111
1005,825,2,20,2:34.145,154145,154.145,5.037893717867083,0.006487398228940283
863,37,1,22,1:54.477,114477,114.477,4.740373929454093,0.008735379159132401
355,32,45,20,1:47.611,107611,107.611,4.678522872985775,0.009292730297088587
149,31,50,2,1:21.620,81620,81.62,4.402074329977659,0.012251899044351873
76,8,55,1,1:18.526,78526,78.526,4.363429780141458,0.01273463566207371
1028,842,32,9,1:41.728,101728,101.728,4.622302584728392,0.009830135262661214
843,814,37,10,1:42.995,102995,102.995,4.634680443362033,0.009709209184911888
1084,1,42,4,1:10.731,70731,70.731,4.258883949220257,0.014138072415206912
153,2,41,7,1:19.211,79211,79.211,4.3721151780651,0.012624509222203987
8,21,56,10,1:23.492,83492,83.492,4.42475081888366,0.011977195419920471
1006,838,11,14,2:25.522,145522,145.522,4.980327277930704,0.006871813196630063
880,17,41,9,1:30.079,90079,90.079,4.5006870630864215,0.011101366578225781
952,830,10,2,1:31.133,91133,91.133,4.512319977970574,0.01097297356610668
1035,825,5,14,1:34.648,94648,94.648,4.550164746951362,0.010565463612543319
1021,20,37,3,1:23.464,83464,83.464,4.4244154011656684,0.011981213457298955
225,22,21,4,1:37.325,97325,97.325,4.578055893496519,0.010274852298998202
