time,acceleration,activity
1267.501,-2.7876,walk
99.871,-1.1661,unknown
1768.671,-2.7197,walk
2081.261,-2.5795,walk
1661.931,-3.7272,walk
2983.181,-5.3622,trot
2322.291,-3.6509,walk
1988.211,-2.7897,unknown
1594.901,-2.4858,trot
3718.281,-5.6713,walk
2330.361,-5.2063,walk
3072.461,-0.494,walk
88.381,-1.4158,unknown
499.131,-0.9766,unknown
3790.191,-2.8583,unknown
544.471,-1.2728,unknown
1120.811,-0.4507,walk
3854.661,-1.7253,unknown
8.071,-1.377,unknown
247.541,-1.3224,unknown
1421.821,-2.1357,walk
894.771,-2.8876,unknown
3017.691,-4.7223,walk
2267.861,-3.4004,walk
14.011,1.0436,unknown
1025.701,-1.6845,walk
2189.351,1.2449,walk
1320.231,-1.3782,walk
3522.461,1.1449,trot
2027.371,-2.1612,walk
1673.891,-3.0306,walk
248.711,-1.3037,unknown
417.231,-1.4388,unknown
728.051,-2.8248,unknown
784.501,-2.9192,unknown
511.421,-1.2523,unknown
863.751,-2.6713,unknown
800.661,-3.0091,unknown
2546.811,-1.7765,walk
2988.791,-2.2605,walk
2207.441,-3.1004,walk
907.451,-3.4465,unknown
543.431,-1.4902,unknown
3789.861,-2.6788,unknown
964.841,-1.0622,walk
352.091,-1.9725,unknown
348.321,-1.1402,unknown
1759.511,-4.6899,walk
3639.871,-5.6243,trot
1804.701,-2.6768,unknown
3367.141,0.9752,walk
3709.271,-4.1583,walk
626.771,-3.2756,unknown
726.481,-3.3633,unknown
2052.031,-3.5692,walk
2009.281,-3.0985,walk
362.751,0.9299,unknown
2363.761,-3.679,walk
3729.821,-2.7874,walk
1832.991,-2.6974,unknown
1447.531,-4.5238,walk
2515.081,-0.8252,walk
914.581,-2.8666,unknown
518.821,-1.5305,unknown
1435.091,-4.1133,walk
2569.981,-1.8279,walk
1535.391,-6.5869,walk
674.141,-2.9318,unknown
478.231,-1.414,unknown
3677.291,-2.917,walk
2121.611,-1.7501,walk
3064.541,-4.8281,walk
2002.331,-2.7542,unknown
2995.261,-4.0008,walk
2927.041,-3.4334,walk
2792.471,-3.2055,walk
1949.231,-2.563,unknown
3825.491,-4.3305,unknown
1020.091,-4.6814,walk
2424.311,-3.5595,walk
918.411,-3.3371,walk
2069.371,-3.7721,walk
1131.391,-0.9431,walk
3232.501,-3.1425,walk
3031.991,-4.1462,walk
1161.001,-0.385,walk
37.991,-1.5434,unknown
3232.181,-2.9785,walk
3476.971,-1.3182,unknown
2053.991,-4.6913,walk
2083.171,-4.9509,walk
1023.901,-4.0781,walk
2931.771,-2.6714,walk
1152.441,-3.7801,walk
3731.401,-1.0716,walk
87.871,-0.8803,unknown
1032.741,-2.6945,walk
1519.021,-7.1195,trot
937.631,-5.323,walk
2123.621,-0.3673,walk
2157.251,-4.0548,walk
1773.191,-0.6843,walk
776.651,-2.9335,unknown
2544.531,-1.9293,walk
462.211,0.1559,unknown
2346.221,-5.2613,walk
1221.871,-2.1377,walk
362.631,-2.868,unknown
1950.881,-2.6538,unknown
1549.211,-4.8952,trot
1036.901,-3.8703,walk
1852.721,-2.6906,unknown
2058.561,-2.3208,walk
884.821,-2.5014,unknown
2841.401,-2.1098,walk
2530.871,0.8421,walk
2182.101,-4.734,walk
1430.431,-1.4139,walk
2495.701,-5.1121,walk
3735.461,-2.9367,walk
1781.001,-4.9763,walk
3277.211,-2.8025,walk
1344.031,0.2761,walk
3015.321,-2.1062,walk
1359.251,-0.6464,walk
1396.231,-3.3793,walk
3427.561,1.4867,unknown
1723.731,1.9642,walk
1508.501,-1.8925,trot
1065.301,-1.4971,walk
3482.301,-1.9504,unknown
208.991,-1.3023,unknown
2270.211,0.7092,walk
